"G_ID","group","clusters","x","y","link","geometry"
"G1_21",1,2,90.4230104192387,23.8708903471362,"https://www.google.com/maps/search/?api=1&query=23.87089034,90.42301041",c(90.4230104192387, 23.8708903471362)
"G1_22",1,2,90.4271340240403,23.8754839734274,"https://www.google.com/maps/search/?api=1&query=23.87548397,90.42713402",c(90.4271340240403, 23.8754839734274)
"G1_23",1,2,90.4257098788572,23.8728987018935,"https://www.google.com/maps/search/?api=1&query=23.87289870,90.42570987",c(90.4257098788572, 23.8728987018935)
"G1_24",1,2,90.4269865517149,23.8685477706527,"https://www.google.com/maps/search/?api=1&query=23.86854777,90.42698655",c(90.4269865517149, 23.8685477706527)
"G1_25",1,2,90.4239840187079,23.8794151706598,"https://www.google.com/maps/search/?api=1&query=23.87941517,90.42398401",c(90.4239840187079, 23.8794151706598)
"G1_26",1,3,90.4448922143274,23.8936501556302,"https://www.google.com/maps/search/?api=1&query=23.89365015,90.44489221",c(90.4448922143274, 23.8936501556302)
"G1_27",1,3,90.4309577275962,23.8850179868323,"https://www.google.com/maps/search/?api=1&query=23.88501798,90.43095772",c(90.4309577275962, 23.8850179868323)
"G1_28",1,3,90.433994916252,23.8977466784169,"https://www.google.com/maps/search/?api=1&query=23.89774667,90.43399491",c(90.433994916252, 23.8977466784169)
"G1_29",1,3,90.4388021829338,23.8813441804547,"https://www.google.com/maps/search/?api=1&query=23.88134418,90.43880218",c(90.4388021829338, 23.8813441804547)
"G1_30",1,3,90.4323051848358,23.8886382587303,"https://www.google.com/maps/search/?api=1&query=23.88863825,90.43230518",c(90.4323051848358, 23.8886382587303)
"G1_31",1,3,90.4319507610887,23.8891041347079,"https://www.google.com/maps/search/?api=1&query=23.88910413,90.43195076",c(90.4319507610887, 23.8891041347079)
"G1_32",1,3,90.436759439282,23.8802723016374,"https://www.google.com/maps/search/?api=1&query=23.88027230,90.43675943",c(90.436759439282, 23.8802723016374)
"G1_33",1,3,90.4538472831557,23.8872093633436,"https://www.google.com/maps/search/?api=1&query=23.88720936,90.45384728",c(90.4538472831557, 23.8872093633436)
"G1_34",1,3,90.4428162626133,23.8793607687037,"https://www.google.com/maps/search/?api=1&query=23.87936076,90.44281626",c(90.4428162626133, 23.8793607687037)
